date,USD,EUR
10/8/2020,7.8267,9.2058
10/9/2020,7.8931,9.2859
10/10/2020,7.8931,9.2859
10/11/2020,7.8931,9.2859
10/12/2020,7.9072,9.3242
10/13/2020,7.8673,9.2889
10/14/2020,7.8778,9.2866
10/15/2020,7.9205,9.2986
10/16/2020,7.9116,9.2724
10/17/2020,7.9116,9.2724
10/18/2020,7.9116,9.2724
10/19/2020,7.9129,9.2692
10/20/2020,7.8778,9.253
10/21/2020,7.8761,9.2874
10/22/2020,7.8179,9.2677
10/23/2020,7.8025,9.2387
10/24/2020,7.8025,9.2387
10/25/2020,7.8025,9.2387
10/26/2020,7.9379,9.3941
10/27/2020,8.0285,9.4924
10/28/2020,8.1211,9.5974
10/29/2020,8.1211,9.5974
10/30/2020,8.1211,9.5974
10/31/2020,8.1211,9.5974
11/1/2020,8.1211,9.5974
11/2/2020,8.3082,9.6985
11/3/2020,8.376,9.7506
11/4/2020,8.4546,9.8802
11/5/2020,8.4553,9.8715
11/6/2020,8.4417,9.9416
11/7/2020,8.4417,9.9416
11/8/2020,8.4417,9.9416
11/9/2020,8.4613,10.0279
11/10/2020,8.1778,9.7173
11/11/2020,8.2358,9.7278
11/12/2020,8.0477,9.4921
11/13/2020,7.7896,9.1861
11/14/2020,7.7896,9.1861
11/15/2020,7.7896,9.1861
11/16/2020,7.6297,9.0169
11/17/2020,7.6751,9.093
11/18/2020,7.7393,9.1836
11/19/2020,7.7195,9.1701
11/20/2020,7.6699,9.0783
11/21/2020,7.6699,9.0783
11/22/2020,7.6699,9.0783
11/23/2020,7.5785,8.995
11/24/2020,7.7593,9.2197
11/25/2020,7.917,9.3956
11/26/2020,7.9415,9.4499
11/27/2020,7.8945,9.4067
11/28/2020,7.8945,9.4067
11/29/2020,7.8945,9.4067
11/30/2020,7.7975,9.2988
12/1/2020,7.7892,9.3306
12/2/2020,7.8412,9.3868
12/3/2020,7.808,9.4134
12/4/2020,7.8472,9.5106
12/5/2020,7.8472,9.5106
12/6/2020,7.8472,9.5106
12/7/2020,7.7796,9.4625
12/8/2020,7.8373,9.4913
12/9/2020,7.8087,9.462
12/10/2020,7.8203,9.484
12/11/2020,7.8499,9.4932
12/12/2020,7.8499,9.4932
12/13/2020,7.8499,9.4932
12/14/2020,7.9349,9.6241
12/15/2020,7.8699,9.5624
12/16/2020,7.8331,9.5184
12/17/2020,7.7873,9.4908
12/18/2020,7.751,9.4817
12/19/2020,7.751,9.4817
12/20/2020,7.751,9.4817
12/21/2020,7.6898,9.423
12/22/2020,7.6769,9.3504
12/23/2020,7.6368,9.3347
12/24/2020,7.6321,9.303
12/25/2020,7.619,9.2948
12/26/2020,7.619,9.2948
12/27/2020,7.619,9.2948
12/28/2020,7.5517,9.2037
12/29/2020,7.4738,9.137
12/30/2020,7.4063,9.0697
12/31/2020,7.3405,9.0079
